log_exposure,exposure,claims,ID,zone_id,year,group,cont1,cont2,cont3,cont4,cont5,cont6,cont7,cont8,cont9,cont10,cont11,cont12,cont13,cat1,cat2,cat3,cat4,cat5,cat6,cat7,cat8
4.35670882668959,78,0,254,39,8,train,0.123150866856127,0.559097063964125,0.8819560220432,0.324791691608836,-0.456088718322936,0.249705674766828,-0.16473945944528,-0.0306676339285031,0.593799744871229,-0.608664701381746,0.970406512414849,0.739500438199206,-0.48925817199166,119,4,0,0,2,0,1,6
4.35670882668959,78,0,255,39,8,train,0.123150866856127,0.559097063964125,0.8819560220432,0.324791691608836,-0.456088718322936,0.249705674766828,-0.16473945944528,-0.0306676339285031,0.593799744871229,-0.608664701381746,0.970406512414849,0.739500438199206,-0.48925817199166,119,6,0,0,2,0,1,6
4.35670882668959,78,0,256,39,8,train,0.123150866856127,0.559097063964125,0.8819560220432,0.324791691608836,-0.456088718322936,0.249705674766828,-0.16473945944528,-0.0306676339285031,0.593799744871229,-0.608664701381746,0.970406512414849,0.739500438199206,-0.48925817199166,119,9,0,0,2,0,1,6
6.3279367837292,560,0,257,39,10,train,0.123150866856127,0.559097063964125,0.8819560220432,0.324791691608836,-0.456088718322936,0.249705674766828,-0.16473945944528,-0.0306676339285031,0.593799744871229,-0.608664701381746,0.970406512414849,0.739500438199206,-0.48925817199166,119,6,0,0,2,0,1,6
8.7558950816463,6348,0,258,39,6,train,0.123150866856127,0.559097063964125,0.8819560220432,0.324791691608836,-0.456088718322936,0.249705674766828,-0.16473945944528,-0.0306676339285031,0.593799744871229,-0.608664701381746,0.970406512414849,0.739500438199206,-0.48925817199166,154,4,0,0,2,0,1,6
9.61713792531813,15020,0,259,39,6,train,0.123150866856127,0.559097063964125,0.8819560220432,0.324791691608836,-0.456088718322936,0.249705674766828,-0.16473945944528,-0.0306676339285031,0.593799744871229,-0.608664701381746,0.970406512414849,0.739500438199206,-0.48925817199166,154,6,0,0,2,0,1,6
9.61713792531813,15020,0,260,39,6,train,0.123150866856127,0.559097063964125,0.8819560220432,0.324791691608836,-0.456088718322936,0.249705674766828,-0.16473945944528,-0.0306676339285031,0.593799744871229,-0.608664701381746,0.970406512414849,0.739500438199206,-0.48925817199166,154,9,0,0,2,0,1,6
7.21964204013074,1366,0,261,39,7,train,0.123150866856127,0.559097063964125,0.8819560220432,0.324791691608836,-0.456088718322936,0.249705674766828,-0.16473945944528,-0.0306676339285031,0.593799744871229,-0.608664701381746,0.970406512414849,0.739500438199206,-0.48925817199166,154,4,0,0,2,0,1,6
8.93141980519298,7566,34,262,39,7,train,0.123150866856127,0.559097063964125,0.8819560220432,0.324791691608836,-0.456088718322936,0.249705674766828,-0.16473945944528,-0.0306676339285031,0.593799744871229,-0.608664701381746,0.970406512414849,0.739500438199206,-0.48925817199166,154,6,0,0,2,0,1,6
7.21964204013074,1366,0,263,39,7,train,0.123150866856127,0.559097063964125,0.8819560220432,0.324791691608836,-0.456088718322936,0.249705674766828,-0.16473945944528,-0.0306676339285031,0.593799744871229,-0.608664701381746,0.970406512414849,0.739500438199206,-0.48925817199166,154,8,0,0,2,0,1,6
7.21964204013074,1366,0,264,39,7,train,0.123150866856127,0.559097063964125,0.8819560220432,0.324791691608836,-0.456088718322936,0.249705674766828,-0.16473945944528,-0.0306676339285031,0.593799744871229,-0.608664701381746,0.970406512414849,0.739500438199206,-0.48925817199166,154,9,0,0,2,0,1,6
5.04985600724954,156,6,265,39,9,valid,0.123150866856127,0.559097063964125,0.8819560220432,0.324791691608836,-0.456088718322936,0.249705674766828,-0.16473945944528,-0.0306676339285031,0.593799744871229,-0.608664701381746,0.970406512414849,0.739500438199206,-0.48925817199166,154,6,0,0,2,0,1,6
6.94697599213542,1040,0,266,39,10,train,0.123150866856127,0.559097063964125,0.8819560220432,0.324791691608836,-0.456088718322936,0.249705674766828,-0.16473945944528,-0.0306676339285031,0.593799744871229,-0.608664701381746,0.970406512414849,0.739500438199206,-0.48925817199166,154,4,0,0,2,0,1,6
6.94697599213542,1040,0,267,39,10,valid,0.123150866856127,0.559097063964125,0.8819560220432,0.324791691608836,-0.456088718322936,0.249705674766828,-0.16473945944528,-0.0306676339285031,0.593799744871229,-0.608664701381746,0.970406512414849,0.739500438199206,-0.48925817199166,154,6,0,0,2,0,1,6
6.94697599213542,1040,0,268,39,10,train,0.123150866856127,0.559097063964125,0.8819560220432,0.324791691608836,-0.456088718322936,0.249705674766828,-0.16473945944528,-0.0306676339285031,0.593799744871229,-0.608664701381746,0.970406512414849,0.739500438199206,-0.48925817199166,154,9,0,0,2,0,1,6
3.95124371858143,52,0,272,39,8,train,0.123150866856127,0.559097063964125,0.8819560220432,0.324791691608836,-0.456088718322936,0.249705674766828,-0.16473945944528,-0.0306676339285031,0.593799744871229,-0.608664701381746,0.970406512414849,0.739500438199206,-0.48925817199166,245,4,0,0,2,0,1,6
3.95124371858143,52,0,273,39,8,valid,0.123150866856127,0.559097063964125,0.8819560220432,0.324791691608836,-0.456088718322936,0.249705674766828,-0.16473945944528,-0.0306676339285031,0.593799744871229,-0.608664701381746,0.970406512414849,0.739500438199206,-0.48925817199166,245,6,0,0,2,0,1,6
3.95124371858143,52,0,274,39,8,train,0.123150866856127,0.559097063964125,0.8819560220432,0.324791691608836,-0.456088718322936,0.249705674766828,-0.16473945944528,-0.0306676339285031,0.593799744871229,-0.608664701381746,0.970406512414849,0.739500438199206,-0.48925817199166,245,9,0,0,2,0,1,6
5.48063892334199,240,0,275,39,10,train,0.123150866856127,0.559097063964125,0.8819560220432,0.324791691608836,-0.456088718322936,0.249705674766828,-0.16473945944528,-0.0306676339285031,0.593799744871229,-0.608664701381746,0.970406512414849,0.739500438199206,-0.48925817199166,245,4,0,0,2,0,1,6
5.48063892334199,240,0,276,39,10,train,0.123150866856127,0.559097063964125,0.8819560220432,0.324791691608836,-0.456088718322936,0.249705674766828,-0.16473945944528,-0.0306676339285031,0.593799744871229,-0.608664701381746,0.970406512414849,0.739500438199206,-0.48925817199166,245,6,0,0,2,0,1,6
5.48063892334199,240,0,277,39,10,train,0.123150866856127,0.559097063964125,0.8819560220432,0.324791691608836,-0.456088718322936,0.249705674766828,-0.16473945944528,-0.0306676339285031,0.593799744871229,-0.608664701381746,0.970406512414849,0.739500438199206,-0.48925817199166,245,9,0,0,2,0,1,6
7.82404601085629,2500,0,278,39,10,train,0.123150866856127,0.559097063964125,0.8819560220432,0.324791691608836,-0.456088718322936,0.249705674766828,-0.16473945944528,-0.0306676339285031,0.593799744871229,-0.608664701381746,0.970406512414849,0.739500438199206,-0.48925817199166,184,6,0,0,2,0,1,6
