"","model","approach","normalized_gini","actual_predicted_ratio","mean_actual_pred_ratio","MeanAE","MedianAE","RMSE"
"1","dl","mkt",0.921348888044049,0.924406138534523,0.919131720445754,207.725260413379,14.394752,3194.50183137536
"2","dl","cpn",0.908713428528747,0.775487372012475,1.11273477519869,269.216224083531,13.0390595,4976.95842321413
"3","dl","trf",0.924702681073906,0.966541667978048,0.944366579001757,201.801635557091,13.2909,3368.27729572646
"4","bst","mkt",0.938934062639316,0.974525323138145,0.833392228390042,187.389721461232,10.095822539151,3066.07942690526
"5","bst","cpn",0.924212709245103,0.840884565743268,0.859845610463234,249.488636029975,11.4501738194684,4912.25227623871
"6","bst","trf",0.940152967513737,1.05245000994807,0.831032620644908,179.090804383553,9.97227014067992,3198.86648422801
"7","cred1","cpn",0.880421139695899,0.882418799889345,1.8078705058257,260.369333911849,12.4070203301075,5651.25561232108
"8","cred1","mkt",0.936833114016498,0.97547086774815,0.950682784389692,183.917112691213,9.77541964214574,2966.99723551358
"9","cred1","trf",0.898176534743803,1.06115990218889,1.368838782065,233.686628831776,14.3446370343847,5053.13880673659
